,prompt
2813,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
bits general rules thumb for you there your cooking. quite few er. few in collection.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
bit of a general rule of thumb for you there for your cooking. quite a few er. a few in the collection now."
2814,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i need. i reply actually whilst. i think it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i need to. i will reply now actually whilst. i think about it."
2815,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh lamb it. yes it little sheep not it. springs lamb.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh lamb is it. yes it is a little sheep is not it. spring is lamb."
2816,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it not it. yeah it would. it cold.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is nice is not it. yeah it would be lovely absolutely. it is cold."
2817,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
home homes. cos i think going montenegro the summer friends. go there.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
home from home. cos i am thinking of going to montenegro in the summer with some friends. do not even go there."
2818,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it amazing. it i not think. it is as good er.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is it amazing. it is i do not think. it is as good as the er."
2819,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know. oh this. where we go than iceland.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i do not know. oh that is beautiful. where can we go other than iceland."
2820,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
or we go and we go october. before terms. oh different place.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
or we go somewhere else and we go in october. before the half term. oh a different place."
2821,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
were there few birmingham. if it lot cheaper but. were direct to.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
were there quite a few in birmingham. if it is a lot cheaper but. were not direct to."
2822,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he big characters. no flight birmingham. where we get go from.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he is a big character again. no direct flights from birmingham. where have we got to go from then."
2823,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yes going on i put businesses private registrations plates. is it company car. it potentially.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yes going on can i put through the business a private registration plate. is it for a company car. it will be potentially."
2824,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
in future. in futures. for employees.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
in the future. in the future. for the employees."
2825,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
if it personalised plate. you just put that cars you want. no it have.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
even if it is a personalised plate. you cannot just put that on any car you want. no it has to."
2826,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah it one. that that good. that that good.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah it is a good one. that is pretty good. that is good that is good."
2827,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they would cost that. what is say. no this cost anywhere those.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they would not have cost that. what is hers say. no that would not have cost anywhere near that."
